Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя,method,param_base_name,cleaned_value,smiles
Детергент_1,0174.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,163.5,ASTM D445,"Кинематическая вязкость, при 100°C",163.5,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,0174.22,"Кислотное число, ГОСТ 11362",мг KOH/г,11.2,ГОСТ 11362,Кислотное число,11.2,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,0174.22,"Массовая доля кальция, ASTM D6481",% масс,11.2,ASTM D6481,Массовая доля кальция,11.2,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,0174.22,"Щелочное число, ASTM D2896",мг KOH/г,405.8,ASTM D2896,Щелочное число,405.8,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Антипенная_присадка_3,б/н,"Массовая доля кальция, ASTM D6481",% масс,0,ASTM D6481,Массовая доля кальция,0.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Антипенная_присадка_3,б/н,"Массовая доля серы, ASTM D6481",% масс,0,ASTM D6481,Массовая доля серы,0.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Антипенная_присадка_3,б/н,"Массовая доля фосфора, ASTM D6481",% масс,0,ASTM D6481,Массовая доля фосфора,0.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Антипенная_присадка_3,б/н,"Массовая доля цинка, ASTM D6481",% масс,0,ASTM D6481,Массовая доля цинка,0.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Антиоксидант_5,32,,,,No Method,nan,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OC
Антиоксидант_6,13799.21,,,,No Method,nan,,CCC(CC)COC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
Загуститель_2,071.21,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,360,ASTM D445,"Кинематическая вязкость, при 100°C",360.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,ASTM D5293,Динамическая вязкость CCS -15°C,13.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,ASTM D5293,Динамическая вязкость CCS -20°C,25.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,ASTM D5293,Динамическая вязкость CCS -25°C,50.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99,ASTM D5293,Динамическая вязкость CCS -30°C,99.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,ASTM D5293,Динамическая вязкость CCS -35°C,200.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Испаряемость по NOACK, ASTM D5800",%,90,ASTM D5800,Испаряемость по NOACK,90.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,3.88,ASTM D445,"Кинематическая вязкость, при 40°C",3.88,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.45,ASTM D445,"Кинематическая вязкость, при 100°C",1.45,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_17,без номера,"Температура застывания, ГОСТ 20287, метод Б",°C,-73,ГОСТ 20287,Температура застывания,-73.0,CCCCCCCCCCCCCCCCCCCC
Дисперсант_1,36524.20,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,245.86,ASTM D445,"Кинематическая вязкость, при 100°C",245.86,CCCCCCCCCCCC1CC(=O)N(C1=O)CCN
Дисперсант_1,36524.20,"Щелочное число, ASTM D2896",мг KOH/г,"49,1",ASTM D2896,Щелочное число,49.1,CCCCCCCCCCCC1CC(=O)N(C1=O)CCN
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1220,ASTM D5293,Динамическая вязкость CCS -15°C,1220.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2317,ASTM D5293,Динамическая вязкость CCS -20°C,2317.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4827,ASTM D5293,Динамическая вязкость CCS -25°C,4827.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10684,ASTM D5293,Динамическая вязкость CCS -30°C,10684.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Индекс вязкости, ГОСТ 25371",–,95,ГОСТ 25371,Индекс вязкости,95.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Испаряемость по NOACK, ASTM D5800",%,14.7,ASTM D5800,Испаряемость по NOACK,14.7,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,33.01,ASTM D445,"Кинематическая вязкость, при 40°C",33.01,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.39,ASTM D445,"Кинематическая вязкость, при 100°C",5.39,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003,ASTM D6481,Массовая доля кальция,3e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Массовая доля серы, ASTM D6481",% масс,0.0236,ASTM D6481,Массовая доля серы,0.0236,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00004,ASTM D6481,Массовая доля фосфора,4e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005,ASTM D6481,Массовая доля цинка,5e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01009.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,ГОСТ 20287,Температура застывания,-18.0,CCCCCCCCCCCCCCCCCCCC
Соединение_молибдена_2,01762.22,,,,No Method,nan,,"дитиокарбомат C8 (2-этилгексил), C13 (тридецил)"
Антипенная_присадка_2,17422.22,,,,No Method,nan,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Противоизносная_присадка_10,02028.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.59,ASTM D445,"Кинематическая вязкость, при 100°C",11.59,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_10,02028.22,"Массовая доля фосфора, ASTM D6481",% масс,9.4,ASTM D6481,Массовая доля фосфора,9.4,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_10,02028.22,"Массовая доля цинка, ASTM D6481",% масс,11.1,ASTM D6481,Массовая доля цинка,11.1,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_10,02028.22,"Щелочное число, ГОСТ 11362",мг KOH/г,16.08,ГОСТ 11362,Щелочное число,16.08,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Детергент_4,02623.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,15.6,ASTM D445,"Кинематическая вязкость, при 100°C",15.6,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Массовая доля кальция, ASTM D6481",% масс,4.72,ASTM D6481,Массовая доля кальция,4.72,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Массовая доля серы, ASTM D6481",% масс,2.5,ASTM D6481,Массовая доля серы,2.5,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Массовая доля фосфора, ASTM D6481",% масс,0.9,ASTM D6481,Массовая доля фосфора,0.9,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Массовая доля цинка, ASTM D6481",% масс,0.88,ASTM D6481,Массовая доля цинка,0.88,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Щелочное число, ГОСТ 11362",мг KOH/г,151.3,ГОСТ 11362,Щелочное число,151.3,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,02623.22,"Щелочное число, ASTM D2896",мг KOH/г,149.6,ASTM D2896,Щелочное число,149.6,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Депрессорная_присадка_3,28446.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,110.2,ASTM D445,"Кинематическая вязкость, при 100°C",110.2,CC(=C)C(=O)OCCCCCCCCCCCC
Антипенная_присадка_1,0940.22,,,,No Method,nan,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Базовое_масло_3,01939.22,Деэм.вода | ASTM D1401,мл,40,ASTM D1401,Деэм.вода |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,317,ASTM D5293,Динамическая вязкость CCS -15°C,317.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,497,ASTM D5293,Динамическая вязкость CCS -20°C,497.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,876,ASTM D5293,Динамическая вязкость CCS -25°C,876.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1515,ASTM D5293,Динамическая вязкость CCS -30°C,1515.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3030,ASTM D5293,Динамическая вязкость CCS -35°C,3030.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Индекс вязкости, ГОСТ 25371",–,127,ГОСТ 25371,Индекс вязкости,127.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Испаряемость по NOACK, ASTM D5800",%,13.2,ASTM D5800,Испаряемость по NOACK,13.2,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,19.91,ASTM D445,"Кинематическая вязкость, при 40°C",19.91,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.33,ASTM D445,"Кинематическая вязкость, при 100°C",4.33,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Массовая доля серы, ASTM D6481",% масс,0.0011,ASTM D6481,Массовая доля серы,0.0011,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля фосфора,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Массовая доля цинка, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля цинка,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,01939.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,ГОСТ 20287,Температура застывания,-18.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,ASTM D5293,Динамическая вязкость CCS -15°C,13.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,ASTM D5293,Динамическая вязкость CCS -20°C,25.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,ASTM D5293,Динамическая вязкость CCS -25°C,50.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99,ASTM D5293,Динамическая вязкость CCS -30°C,99.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,ASTM D5293,Динамическая вязкость CCS -35°C,200.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Испаряемость по NOACK, ASTM D5800",%,90,ASTM D5800,Испаряемость по NOACK,90.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.84,ASTM D445,"Кинематическая вязкость, при 40°C",2.84,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_16,25721.17,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.17,ASTM D445,"Кинематическая вязкость, при 100°C",1.17,CCCCCCCCCCCCCCCCCCCC
Антиоксидант_6,нет номера у образца,,,,No Method,nan,,CCC(CC)COC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
Загуститель_2,0773.22 (8.5%),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,373.32,ASTM D445,"Кинематическая вязкость, при 100°C",373.32,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Деэм.вода | ASTM D1401,мл,38,ASTM D1401,Деэм.вода |,38.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Деэм.масло | ASTM D1401,мл,42,ASTM D1401,Деэм.масло |,42.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1220,ASTM D5293,Динамическая вязкость CCS -15°C,1220.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2250,ASTM D5293,Динамическая вязкость CCS -20°C,2250.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4642,ASTM D5293,Динамическая вязкость CCS -25°C,4642.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10272,ASTM D5293,Динамическая вязкость CCS -30°C,10272.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,21000,ASTM D5293,Динамическая вязкость CCS -35°C,21000.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Индекс вязкости, ГОСТ 25371",–,96,ГОСТ 25371,Индекс вязкости,96.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Испаряемость по NOACK, ASTM D5800",%,14,ASTM D5800,Испаряемость по NOACK,14.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.61,ASTM D445,"Кинематическая вязкость, при 40°C",32.61,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.37,ASTM D445,"Кинематическая вязкость, при 100°C",5.37,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003,ASTM D6481,Массовая доля кальция,3e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Массовая доля серы, ASTM D6481",% масс,0.028,ASTM D6481,Массовая доля серы,0.028,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00005,ASTM D6481,Массовая доля фосфора,5e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Массовая доля цинка, ASTM D6481",% масс,0.00001,ASTM D6481,Массовая доля цинка,1e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,02596.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,ГОСТ 20287,Температура застывания,-18.0,CCCCCCCCCCCCCCCCCCCC
Детергент_6,02657.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,271.9,ASTM D445,"Кинематическая вязкость, при 100°C",271.9,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,02657.22,"Массовая доля кальция, ASTM D6481",% масс,10.59,ASTM D6481,Массовая доля кальция,10.59,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,02657.22,"Массовая доля серы, ASTM D6481",% масс,0.326,ASTM D6481,Массовая доля серы,0.326,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,02657.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0006,ASTM D6481,Массовая доля фосфора,0.0006,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
